rank,log_prob,area_rmse_km2,area_bias_km2,passed,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,lapse_rate
248,-543.2547956395175,0.4314703543311729,0.2866666666666677,True,5.241395154376374,-0.007172908049144896,0.011403779553904264,0.014325964962073806,0.0009562814099377951,2.041681252983171,0.007262691215153508,-0.002212595912831248
249,-543.2552862424706,0.43164414355655034,0.2916666666666667,True,5.427172626015829,-0.007454257667285439,0.011412510196868826,0.013493252265765537,0.0011659911090548404,1.8621364808858323,0.023061984081948636,-0.002198762243323493
250,-543.2554353327745,0.43164414355655034,0.2916666666666667,True,5.292015986118018,-0.00717787974025808,0.011330032205414543,0.014292691257895418,0.0010740778954715564,1.9660191639321343,0.01053737862843028,-0.0021915837116782857
251,-543.2556327534745,0.43164414355655034,0.2916666666666667,True,5.381230802280753,-0.007332497137106178,0.011613757442792968,0.013346160437576764,0.001057340937529479,1.9714426057859704,0.01512419246300041,-0.002211772004872665
252,-543.25753751483,0.4317792645939989,0.29333333333333417,True,5.4575949290577155,-0.007418777079487428,0.01139364369350281,0.013157319280552044,0.0011850003283003683,1.8447737180954942,0.038934110783805126,-0.0022061235119013316
253,-543.2578125750505,0.43154760262725883,0.2900000000000003,True,5.15962639029988,-0.0070080962539290186,0.011609694041791973,0.014345187098483467,0.001002119112995406,2.0043610203035875,0.003910048521210491,-0.002266324587179436
254,-543.2581426337146,0.43164414355655034,0.2916666666666667,True,5.326873247968732,-0.0072505250795190926,0.011520041795660206,0.013252816215524054,0.0012465426794120247,1.8067971439499204,0.002687322323364126,-0.0022288812942678217
255,-543.258569389313,0.43164414355655034,0.2916666666666667,True,5.374609942293154,-0.007362224899477598,0.011568542758838994,0.013769005043286289,0.0009929551482101388,2.0305611248987123,0.00851701103682291,-0.0022035234790723783
256,-543.2592209937803,0.43164414355655034,0.2916666666666667,True,5.318017701022521,-0.007215600054540218,0.011632382720183592,0.013759705342616042,0.0011507025415610078,1.9019566048517766,0.0033064687146428587,-0.002249020788843775
257,-543.260499800693,0.4317792645939989,0.29333333333333417,True,5.416645659764025,-0.007431512487045717,0.011570109246312023,0.013357323585523112,0.0010347332793422194,1.9833336594409745,0.008568605556726902,-0.0022128972302161336
258,-543.2620292955046,0.43164414355655034,0.2916666666666667,True,5.399142994963925,-0.0073408863997844005,0.011246263651489891,0.013805817061601531,0.0010499754931473351,1.9574891407981025,0.0279918789956325,-0.0021898363663554253
259,-543.2625950633012,0.43164414355655034,0.2916666666666667,True,5.529236257902712,-0.0076228454997263415,0.011413605134927791,0.013718564652224739,0.0010173729300453726,1.9800601971938647,0.02248713982871798,-0.002221958319628857
260,-543.264742707232,0.4317792645939989,0.29333333333333417,True,5.318730189821937,-0.007265117743921553,0.011554304402333609,0.013696812285936812,0.0009755339716101949,2.0370801049128917,0.014463983263514814,-0.0022112291844918006
261,-543.2657586018335,0.42320207938997567,0.2766666666666661,True,5.485371389977899,-0.007527437665313838,0.011499588938313045,0.01332962733915037,0.0009160154338461185,2.0669101363847195,0.009165353105476172,-0.002220171151504807
262,-543.2666783805204,0.43164414355655034,0.2916666666666667,True,5.478010588331533,-0.00744715383664043,0.011402477646723736,0.013737125038748658,0.0011010724159328364,1.9500297385605911,0.002394203580863719,-0.0021957777499960816
263,-543.2671759833441,0.43164414355655034,0.2916666666666667,True,5.537841303617086,-0.007498026148597926,0.01118113198398569,0.013207362464062334,0.0009468608271095017,2.026039717129491,0.02088238846556209,-0.0022087934646455557
264,-543.2673741383429,0.4317792645939989,0.29333333333333417,True,5.488784346118157,-0.007484083942526809,0.011620474955722201,0.013241976132872082,0.0010504880213853044,1.9804897759114968,0.009437741306411307,-0.002224456000691996
265,-543.2691068923793,0.43216509191125996,0.29666666666666686,True,5.319267085083654,-0.007261048461792312,0.01137646342911619,0.013748191304596933,0.0010238094575464249,1.965354795858915,0.021433693716744896,-0.0022312511149891125
266,-543.269455262314,0.4317792645939989,0.29333333333333417,True,5.58101772016448,-0.007579836354230355,0.01131445953209006,0.01320411954257192,0.0010315339570755179,1.9581622875765705,0.022889632147676087,-0.0022348107992026496
267,-543.2711102715542,0.43164414355655034,0.2916666666666667,True,5.381946590185511,-0.0072383532756610585,0.011177370223877813,0.013355553929686424,0.000970192231112428,2.023316636828412,0.01520104521992506,-0.0021876740047097575
268,-543.2718623592597,0.43164414355655034,0.2916666666666667,True,5.61188576551737,-0.0076036855508520695,0.011280578139334372,0.013230661060738207,0.0009576761988521086,2.0398790311646957,0.020634657527256954,-0.0022026351172362243
269,-543.2720691632964,0.4317792645939989,0.29333333333333417,True,5.594914920190274,-0.007617833244297068,0.011513205760816816,0.012669906900490021,0.0009181906009488087,2.0657565824756596,0.0004044405923555837,-0.002240160624751391
270,-543.2727516940273,0.43164414355655034,0.2916666666666667,True,5.3655051834633705,-0.007274722614558226,0.011362267555654365,0.013487283044308651,0.0010622721345862098,1.9212131547020055,0.01762501317501847,-0.002250140952353481
271,-543.272956249893,0.4317792645939989,0.29333333333333417,True,5.550634189730272,-0.007575859094410428,0.011512499873484926,0.012872091976277105,0.001014970922039503,1.9658981547100591,0.0050454202560765715,-0.002263954926006186
272,-543.2745389910241,0.4314896677017128,0.288333333333334,True,5.485271875798685,-0.007492360439286332,0.0113163160818427,0.013356969434271301,0.0010528093955766912,1.954919311145951,0.01486587911713904,-0.0021859891625783502
273,-543.2747245876707,0.4314703543311729,0.2866666666666677,True,5.226746117721177,-0.00710328439402417,0.011342545301478397,0.014131105238613415,0.0009999143653935901,1.9975780971015842,0.01963324689604116,-0.0022041233315439174
274,-543.274991423743,0.43164414355655034,0.2916666666666667,True,5.2267847339506215,-0.007120433148476307,0.011530658839427247,0.01434545448513383,0.001059441435314055,1.949650170786903,0.014483289264997173,-0.0022669677948444883
275,-543.2766979444018,0.43164414355655034,0.2916666666666667,True,5.232216244838562,-0.00710907635001509,0.011549382797550009,0.01399821386824518,0.0009569115757099703,2.0468070949800796,0.013373268803406831,-0.0022399803431117178
276,-543.2788614714856,0.4317792645939989,0.29333333333333417,True,5.504523780302836,-0.007462806040339141,0.011185188941615801,0.013369206956425,0.001014140032945318,1.9995625032813171,0.0375176031996541,-0.0021503566741208633
277,-543.2789887965218,0.4317792645939989,0.29333333333333417,True,5.677063017956906,-0.00778345165636723,0.011385302454998372,0.013318251924040889,0.0009732213853982369,2.0291815031352485,0.008287683661297542,-0.002223977068972161
278,-543.2801698385742,0.43154760262725883,0.2900000000000003,True,5.287474578454554,-0.0071533378619047265,0.011392106570913541,0.014090302938148922,0.0009772206295952564,2.0259501456255675,0.02807063328862306,-0.00221407433847859
279,-543.2802487389408,0.4317792645939989,0.29333333333333417,True,5.171059035743881,-0.007021417011573751,0.011526509848360606,0.013781881094360836,0.0011538355009002399,1.899009874445109,0.01727722270915648,-0.0021929527716100516
280,-543.2822794030038,0.4317792645939989,0.29333333333333417,True,5.553346477925982,-0.007594852852175683,0.011325284467693469,0.013158877730650276,0.0011316181309591047,1.8849007382451415,0.03817526820511878,-0.002189722739834341
281,-543.2826867947438,0.43154760262725883,0.2900000000000003,True,5.148179947490495,-0.007008852775475697,0.011474150806110887,0.014214521276569666,0.0011478554766422874,1.9108295945423728,0.017266502931690016,-0.0021730453462081357
282,-543.283111747381,0.43164414355655034,0.2916666666666667,True,5.579585449570626,-0.0075632138272229265,0.011386011279834424,0.012781756021410092,0.001085358147294129,1.9403376588723256,0.030606356505962436,-0.0021744422308609115
283,-543.2857975744902,0.43164414355655034,0.2916666666666667,True,5.261956323644081,-0.007140822165235853,0.011522036820640414,0.013557177202430016,0.001255110704796226,1.813628162952474,0.017881881574480632,-0.0022101341169719004
284,-543.2868060972635,0.43154760262725883,0.2900000000000003,True,5.2874013936190245,-0.007173829840702267,0.011335399233386282,0.014337091846179047,0.0010720834823327535,1.9681307535307828,0.009012853441184257,-0.002193278198525723
285,-543.2883304482195,0.4317792645939989,0.29333333333333417,True,5.500769625295378,-0.0074966917966281825,0.01157361722681053,0.013072761130655516,0.0009891283092377228,2.028867336829179,0.0032758596009160867,-0.002217327658185963
286,-543.2886196583407,0.43164414355655034,0.2916666666666667,True,5.480108682049892,-0.0074456722581800645,0.011360156404181487,0.013738289140345302,0.0010983846261758362,1.9498125137094076,0.0024126977376908443,-0.002192529633458114
287,-543.2892756001505,0.43154760262725883,0.2900000000000003,True,5.374142450607489,-0.007331408812319749,0.01138023623676655,0.013861619693294932,0.001017997339664525,1.9995413663276451,0.051331241761895886,-0.002157940058291351
288,-543.2894048000769,0.43164414355655034,0.2916666666666667,True,5.400413279742412,-0.007342775439551161,0.01129856731538621,0.013458244335966912,0.0010247544544347525,1.9584116267978844,0.02402712565683652,-0.0022136901472147204
289,-543.2895886772999,0.43164414355655034,0.2916666666666667,True,5.286756908146554,-0.007094447259077643,0.011283855229634493,0.013809187708272764,0.0009659655666831213,2.0424841591892853,0.011966984191041707,-0.002206197122295326
290,-543.2897834841152,0.4317792645939989,0.29333333333333417,True,5.497085458271416,-0.007461059434586363,0.011338583518436281,0.013230972040459034,0.0009549905599685774,2.034776767869108,0.049077222932808584,-0.002187804148214796
291,-543.2934260659757,0.43164414355655034,0.2916666666666667,True,5.453936355866449,-0.00748671541913095,0.011276323469771978,0.013728397498583138,0.0010307808213723634,1.9862863347036774,0.021432740111963944,-0.0021588564460429858
292,-543.2934358057355,0.4317792645939989,0.29333333333333417,True,5.360202670825008,-0.007338033846992167,0.01147851797848194,0.013953972131798347,0.0010645198460064616,1.9408031437971138,0.026842693176601717,-0.002243042373315349
293,-543.2936196774169,0.43216509191125996,0.29666666666666686,True,5.450628769837758,-0.007376347954477583,0.011394222312263839,0.012904996619620157,0.0010377305796089747,1.9514163317707178,0.0035708453476384896,-0.002247594152122772
294,-543.295612747827,0.43164414355655034,0.2916666666666667,True,5.642111634733594,-0.0076419778277898535,0.011335497930071556,0.01313368935125763,0.0009412288708978273,2.045900536077975,0.011365091889628344,-0.002241114347479192
295,-543.2965777861207,0.4317792645939989,0.29333333333333417,True,5.130435843089259,-0.00696305746945533,0.011521802419037394,0.01413750578032343,0.0010864113513243657,1.9617548381200307,0.01951828471982557,-0.0021859712889370385
296,-543.2984240410635,0.43164414355655034,0.2916666666666667,True,5.698363133286016,-0.007764568350537734,0.01150297832257061,0.01267136150658186,0.0009081801223053754,2.0749717282550866,0.002602435128779987,-0.002246602903131091
297,-543.2994375170615,0.43164414355655034,0.2916666666666667,True,5.33478353077209,-0.0072438177561289655,0.011547682956619993,0.013530722616116101,0.0009571852349940729,2.037245733683991,0.0172944556905756,-0.002241256780243075
298,-543.301260279772,0.43164414355655034,0.2916666666666667,True,5.479057055241148,-0.007460440921352552,0.011511738905671658,0.013715009164860644,0.0009990408553625886,2.0219488457387897,0.026191890949803974,-0.0022173140581961633
299,-543.3020598322083,0.43154760262725883,0.2900000000000003,True,5.202751407415517,-0.007083263124708175,0.011266405485503584,0.014275427549806633,0.000996443297410824,2.0055087074478912,0.0019216282177168323,-0.0021966378775554775
300,-543.3022185496386,0.43216509191125996,0.29666666666666686,True,5.570487292955801,-0.007677554305431111,0.01142485846751962,0.013754440952210553,0.0009691634635735225,2.028649309310279,0.003673258299408122,-0.002241181409030567
301,-543.3024124789542,0.4317792645939989,0.29333333333333417,True,5.35486777128096,-0.007329581339411106,0.011482741261243263,0.013962267404869692,0.001059615853671259,1.9439899633305517,0.027312361655269693,-0.002244091043194951
302,-543.3030574309608,0.43154760262725883,0.2900000000000003,True,5.587834207832893,-0.007548752930757008,0.011348007805187667,0.013045160919169813,0.0010405724196619354,1.9733918134154687,0.014941957592913533,-0.002204534395887689
303,-543.3038165616396,0.4317792645939989,0.29333333333333417,True,5.557628882531904,-0.007554209382844318,0.01126831856060471,0.012771475064711565,0.0010532127180581281,1.9340766351455347,0.016926471544513932,-0.0022106469026699598
304,-543.3059287111154,0.43154760262725883,0.2900000000000003,True,5.564842797134833,-0.007615664454161835,0.011382161369369813,0.013560137685357757,0.0010344296999798682,1.9548099136334698,0.007323166597838101,-0.0022529641168478718
305,-543.3059906623624,0.4317792645939989,0.29333333333333417,True,5.514363846101687,-0.007517888707007118,0.01138349582671207,0.013224569876931637,0.0010577176902625237,1.9308267927493452,0.026303047984021846,-0.0022406734612293155
306,-543.3084901014402,0.43164414355655034,0.2916666666666667,True,5.250240668225898,-0.007213416986163261,0.011382577467908727,0.01440117007968095,0.0010117947523924091,1.9955327892910943,0.015670902615174568,-0.00220337022515891
307,-543.3087980798034,0.4317792645939989,0.29333333333333417,True,5.356472228390647,-0.007330599921521146,0.01148011782716167,0.01395993769453045,0.0010564503976235255,1.9475410762251397,0.027227280891765442,-0.0022434832095055653
308,-543.3095021393164,0.43164414355655034,0.2916666666666667,True,5.289669972798068,-0.007289364174449666,0.011483619065760507,0.014292940059953572,0.0010761773824738922,1.9701011429115987,0.007560755185634378,-0.002182620049267303
309,-543.3095217527402,0.43164414355655034,0.2916666666666667,True,5.414258874708312,-0.0072509682221722676,0.011282303226074458,0.013501545932799109,0.0008919945813881775,2.11032986527881,0.00256476624381681,-0.0022145792266354014
310,-543.3100662802974,0.43154760262725883,0.2900000000000003,True,5.36369087493384,-0.007337905271698536,0.011616220610401908,0.013495817751416306,0.0010371543043180796,1.9711608378118415,0.008058362957195364,-0.0022352596544495617
311,-543.3123705337848,0.43164414355655034,0.2916666666666667,True,5.435721704634995,-0.00740012865424714,0.011401561554257075,0.01389446925958631,0.0010357267403717473,1.981571254512966,0.021908124867756684,-0.002221122747247524
312,-543.312630790331,0.43164414355655034,0.2916666666666667,True,5.578671740711307,-0.007545291062900566,0.011265348775621608,0.013094742951778836,0.0011213689275030312,1.8981559619213444,0.004146080048406397,-0.0022189325882083126
313,-543.3128344824294,0.43164414355655034,0.2916666666666667,True,5.293046620728031,-0.007236289451807039,0.011418144301946008,0.01394740286985323,0.0010355911823049207,1.9770410899223683,0.04852323679294885,-0.002178999565873424
314,-543.3133700726547,0.43164414355655034,0.2916666666666667,True,5.432981851555281,-0.007357159855933979,0.011356856485688708,0.013065037708303643,0.0009867873229450377,2.02932400547744,0.008384957081264589,-0.0021699628445114518
315,-543.3135853370603,0.4317792645939989,0.29333333333333417,True,5.543749209212021,-0.007503849975542935,0.0114116457062376,0.01279934280030747,0.001094074351665014,1.9431569100129016,0.02203135095497559,-0.002172038345939937
316,-543.314117981892,0.43164414355655034,0.2916666666666667,True,5.284466240175749,-0.007316286841891723,0.01152481012241295,0.014335383902930385,0.0011156139251681779,1.9289914083986193,0.0013312855270896842,-0.0022027124119842656
317,-543.3144269948446,0.43164414355655034,0.2916666666666667,True,5.583336477665575,-0.007557118269300676,0.011443188492501193,0.013319642361829406,0.0008955192275087614,2.1027141532353273,0.013148889368310988,-0.0022365862365511125
318,-543.314770688226,0.4317792645939989,0.29333333333333417,True,5.438168017166395,-0.007393881554012743,0.011368154733536657,0.013417506185435649,0.0008864864846070794,2.090424113072249,0.013596879130022638,-0.0022319649729763053
319,-543.3151633135467,0.43216509191125996,0.29666666666666686,True,5.518902660752028,-0.007514372356181844,0.011308388490141751,0.013442921096674242,0.0010777747495631285,1.957879051718244,0.0035148427963986226,-0.0021913506181597537
320,-543.3157281298984,0.43154760262725883,0.2900000000000003,True,5.348628847883414,-0.007312423941672934,0.01164270183976838,0.013432841636296343,0.0010401923603706458,1.9675645594559135,0.0035492515348445053,-0.0022413979133580884
321,-543.3163620349195,0.43164414355655034,0.2916666666666667,True,5.4352017210443515,-0.0073466578311557566,0.011205399999836814,0.013332364086288812,0.0009113256574109775,2.0502901729476912,0.006585736310888416,-0.002235889669393388
322,-543.3169196000717,0.43164414355655034,0.2916666666666667,True,5.285214840051816,-0.007233625170394305,0.011555968707910093,0.013745656355548225,0.0009137460894125882,2.079668407005241,0.023900613613207215,-0.0022092562516105854
323,-543.3177537134795,0.43216509191125996,0.29666666666666686,True,5.519990469968969,-0.0075162189414748354,0.011308704768085006,0.013441517643481426,0.0010769031669272896,1.958646373783161,0.003579116652743103,-0.0021912681320621326
