rank,log_prob,area_rmse_km2,area_bias_km2,passed,MF,MF_grad,r_snow,precip_grad,precip_corr,T0
307,-682.8002229512165,0.3760983913818294,0.23499999999999943,True,7.239133849428306,-0.004150248969314164,0.0015139380128235515,0.0007190446270761159,1.6146316501369933,0.004725073357279402
308,-682.8003409080093,0.37414346624434497,0.23166666666666677,True,7.341900881109659,-0.004312372681451799,0.001510662575831303,0.0006863106580401415,1.6353362409470782,0.0004876129628046353
309,-682.8003881492007,0.37414346624434497,0.23166666666666677,True,7.038292656635711,-0.003992410638580979,0.0018445863164251262,0.0006524316204727727,1.664836029201799,0.004688519674018359
310,-682.8004836783771,0.3760983913818294,0.23499999999999943,True,7.3454277572935585,-0.0042471053083323355,0.0014354854451408643,0.0006182332621881748,1.7036754813083455,0.0016048770472830549
311,-682.8008147320238,0.3780432074071248,0.22833333333333292,True,6.92387908693697,-0.003807073368487304,0.0019695848866203,0.0007397265473614149,1.613602013283985,0.0005244437923472671
312,-682.8012717544507,0.3811823710509186,0.23999999999999963,True,7.153141077586519,-0.00422257048457972,0.001971961444615912,0.0007674576998255269,1.5801929716554992,0.002233530129070937
313,-682.8013277181543,0.3760983913818294,0.23499999999999943,True,7.1870313512427915,-0.004036872335796354,0.0014929330427824626,0.0007547897927933802,1.5942727127059542,0.005012938742833435
314,-682.801886976575,0.3760983913818294,0.23499999999999943,True,7.223954479988503,-0.004256381995544037,0.001826368071724525,0.0006049915796172162,1.7087206546808575,0.004668519326227868
315,-682.8019619975724,0.3760983913818294,0.23499999999999943,True,7.251289307039394,-0.004173336499782935,0.001519888255652144,0.0007072431928540947,1.622251342443116,0.004788373243135051
316,-682.8022292195094,0.3765191451528943,0.2333333333333331,True,7.143978620161407,-0.0040894491928771,0.0017199798042374888,0.0006852834307624556,1.6404159379515293,0.008129112618345986
317,-682.8023982734917,0.3746109092556349,0.22999999999999923,True,7.137595009258429,-0.004106483575299784,0.001849627660484952,0.000785855567213061,1.570926018492652,0.003835567215563241
318,-682.8032896526482,0.3870185180754697,0.24166666666666595,True,6.947927952400951,-0.003872758557359731,0.001983318793070013,0.0007355963174557087,1.617514760458351,0.0040826765602443044
319,-682.8038877851042,0.3760983913818294,0.23499999999999943,True,7.0284870224229685,-0.0038810044678897317,0.0016124981949597259,0.0008124800670652763,1.5445819745157838,0.00015171443529076204
320,-682.8039017689089,0.3765191451528943,0.2333333333333331,True,7.199645980103659,-0.004155008322855496,0.0017354339152409594,0.000605279448698195,1.7130605321905796,0.00443183962170654
321,-682.8039093784693,0.3870185180754697,0.24166666666666595,True,6.955409027393716,-0.003861260605678078,0.0019487398136419,0.0007463764511409999,1.6108330831671267,0.0038715768916926917
322,-682.8043387915367,0.3785058343892037,0.23666666666666694,True,7.040842534219214,-0.0038883515843980386,0.0018085470441659833,0.0007041519965296244,1.6511513962943556,0.00023562602680690745
323,-682.8048373550728,0.3811823710509186,0.23999999999999963,True,7.294508350550716,-0.004313808475220877,0.001691435170883544,0.0006321412119947767,1.685823564828259,0.0015510700794659545
324,-682.8051833200648,0.3811823710509186,0.23999999999999963,True,7.274924646563664,-0.004213234560353635,0.0016320605998075347,0.0007628039215919338,1.5953582286568855,0.0007400643727372877
325,-682.8062102375009,0.3760983913818294,0.23499999999999943,True,7.073265944604456,-0.003968997845981963,0.0016819780571048764,0.0007611533112462179,1.5841253192377738,0.006862540596810607
326,-682.8062133041976,0.39008546072196437,0.24333333333333348,True,7.1512070784003,-0.004073390956551271,0.0016801338224236798,0.0006633537276706725,1.6683222597708087,0.0021147675095546242
327,-682.806701218774,0.3811823710509186,0.23999999999999963,True,7.1534086288348275,-0.004091716602919164,0.0017026926266517845,0.0007594983614163862,1.589021793006035,0.005732502156020143
328,-682.8071621586427,0.3874274125562094,0.23999999999999963,True,7.019928381691215,-0.003954256182653387,0.0019913103021006206,0.0006853942119004514,1.663638786507725,0.004337989195919132
329,-682.8077010499467,0.37572152808518494,0.23666666666666578,True,7.319518440460889,-0.004289207867635952,0.0015425169534352377,0.0007124060080968552,1.618577352770891,0.003218895067533186
330,-682.8087733496357,0.3811823710509186,0.23999999999999963,True,7.1986527579411685,-0.00410925668543537,0.0015580589590290558,0.0008196202572552159,1.5447390217532802,0.00025821162856949154
331,-682.8091666109048,0.3811823710509186,0.23999999999999963,True,7.1528887389689135,-0.004044245298498868,0.0016430572283888916,0.0007156181773270758,1.6281892254518648,0.005758544807108053
332,-682.8102659550066,0.3760983913818294,0.23499999999999943,True,7.235989783862826,-0.0041677663413608405,0.0016537362651338184,0.000610332541688944,1.7121827834236358,0.004273121032115159
333,-682.8106973632586,0.3760983913818294,0.23499999999999943,True,7.264785551258955,-0.004240422757771426,0.001683566806626174,0.0007143687424073258,1.6237956625455838,0.004220114375632387
334,-682.8128128162842,0.37916575091464405,0.23666666666666578,True,7.221905037975877,-0.004305628776947672,0.0019208433814422075,0.000710415850763344,1.620918955811689,0.002341216691254321
335,-682.812920303704,0.3811823710509186,0.23999999999999963,True,7.092179724920858,-0.004045503096765471,0.0017102547083010795,0.0007775174336242809,1.5658760379003298,0.0025189846630962807
336,-682.815734485352,0.38360135557633246,0.24166666666666595,True,6.954797684088942,-0.0038904299955615893,0.0019439716105847233,0.0006707389436843828,1.6615565486826998,0.0033798009667324446
337,-682.8165541354716,0.37414346624434497,0.23166666666666677,True,7.171680748065461,-0.004083559151257189,0.00155941669547341,0.0007392068833540874,1.5921378024432666,0.003778859415437418
338,-682.8165926160366,0.39008546072196437,0.24333333333333348,True,7.194161346260533,-0.004112039970973211,0.0016952753273056444,0.0007188495123106669,1.632658687461921,0.0010095644325017576
339,-682.818250262485,0.3811823710509186,0.23999999999999963,True,7.1873299362210545,-0.004110162714104176,0.0016801304963623628,0.0007470164682069835,1.6036782279912805,0.00607735857728971
340,-682.8204284160635,0.37414346624434497,0.23166666666666677,True,7.06930298024572,-0.003945398043421339,0.0016602954526493722,0.0008007770495243756,1.5542237691278897,0.0031091213358541564
341,-682.8211699391036,0.3765191451528943,0.2333333333333331,True,7.1837041319862545,-0.004087089145694876,0.0016340191759485572,0.0008405003779476535,1.5327082903320663,0.0016682883667790164
342,-682.8213700436035,0.3811823710509186,0.23999999999999963,True,7.294230022235435,-0.004313582826921031,0.0016896406822207706,0.000634333802814515,1.6839276660731943,0.0015871813322037292
343,-682.8217005508269,0.38155384067433196,0.23833333333333329,True,7.133944818314116,-0.004009060129746806,0.0016568817857420194,0.000681044521190359,1.6572161453878946,0.005358559439882186
344,-682.8243984189862,0.3765191451528943,0.2333333333333331,True,7.298116896728593,-0.0042760947524741405,0.001663277707371626,0.000693597006699108,1.6398798986150287,0.0017267315053250177
345,-682.8244466974564,0.3710795063055904,0.22666666666666657,True,7.056773374804669,-0.0039905743665669905,0.0017460292889855528,0.0007346650102216769,1.594995984031947,0.000765792733498619
346,-682.8244927152072,0.3765191451528943,0.2333333333333331,True,7.136869554058982,-0.004069804282470578,0.0017438474871896892,0.0006102567990474486,1.7080476919063143,0.004589566692164152
347,-682.8246311815595,0.3811823710509186,0.23999999999999963,True,7.196912863432109,-0.0041914495709316135,0.0017314258870808454,0.0007505506251939225,1.5895096270984632,0.005184891199994956
348,-682.826168357963,0.37414346624434497,0.23166666666666677,True,7.374850411913749,-0.004245451480809933,0.0013026968602385608,0.0006732767956127721,1.652894553626491,0.0009075503542800636
349,-682.8264148537721,0.37414346624434497,0.23166666666666677,True,7.1785617525580765,-0.004108243897470515,0.0015330809819272245,0.0007571321539837408,1.574328014536896,0.0004193572725727313
350,-682.8276748660029,0.3760983913818294,0.23499999999999943,True,6.941039306207009,-0.003924500274541389,0.0019640778544864415,0.0006349273010415114,1.6746483345994096,0.0007160587392858672
351,-682.8291482111362,0.37572152808518494,0.23666666666666578,True,7.2957007771916755,-0.004251292313076681,0.0015064772225163107,0.0007014469518941011,1.6232805866992919,0.003681152930540978
352,-682.8298738166135,0.3811823710509186,0.23999999999999963,True,7.254965423302333,-0.004190757774699109,0.001602084608231667,0.0005907508616598662,1.7283594712019157,0.0021606563888052037
353,-682.8307126197241,0.3760983913818294,0.23499999999999943,True,7.111476008004121,-0.003982197779199673,0.0016182368062277463,0.0007385172027019922,1.6048700515016372,0.006380893171697112
354,-682.832013492141,0.3811823710509186,0.23999999999999963,True,7.1636617825735724,-0.004046146137706443,0.0015925192987511691,0.0006902427304820356,1.6448944468313418,0.006572563089865726
355,-682.8325032543319,0.3811823710509186,0.23999999999999963,True,7.152585024199757,-0.004225542562944748,0.001980997731946055,0.0007686975291489417,1.5793821842661004,0.002136277518687507
356,-682.8334170991926,0.3765191451528943,0.2333333333333331,True,7.047022108003261,-0.0039533900306297914,0.00179501719928034,0.0006765921291596555,1.6533707798492736,0.004252522096600854
357,-682.8340505301006,0.3765191451528943,0.2333333333333331,True,7.221013287485259,-0.004000797576318885,0.0013991490553151348,0.0007694955333029925,1.5938689498062435,0.0001317123972462038
358,-682.8342164721665,0.3760983913818294,0.23499999999999943,True,7.107510551809662,-0.003983165968221442,0.0016239789033887695,0.0007349105274102564,1.6064529540948134,0.0063252560795666385
359,-682.8343704578134,0.3760983913818294,0.23499999999999943,True,7.067940323530606,-0.003888040788658492,0.0015624199061960997,0.0008342844781826789,1.537359053391402,0.002488704678623713
360,-682.834465627806,0.3765191451528943,0.2333333333333331,True,7.164892424740139,-0.004088200924756029,0.0017164827491189618,0.0008538154658926003,1.5252915560642368,0.0015935614513397838
361,-682.8345905895344,0.38155384067433196,0.23833333333333329,True,7.178692565347625,-0.004053936949463684,0.001630137607462939,0.0007028194621592955,1.6424118803384622,0.006275095465037883
362,-682.835188818172,0.3765191451528943,0.2333333333333331,True,7.207353849444467,-0.004095048901939549,0.001587686971628433,0.0006269558646505446,1.6977216298868925,0.003334986491504732
363,-682.8359381924511,0.3811823710509186,0.23999999999999963,True,6.9896673030821015,-0.0038926023034090286,0.001825030651647607,0.0007646159454205877,1.5859539510691372,0.00717802761969578
364,-682.8361618082704,0.3710795063055904,0.22666666666666657,True,7.05673909902558,-0.003989339597584125,0.0017439035223815182,0.000735629513109776,1.5943373778970567,0.0010405431498714743
365,-682.838204381789,0.3811823710509186,0.23999999999999963,True,7.310517803660817,-0.0041831778823035876,0.0014465046771265466,0.0007139832999163714,1.6331861574116844,0.0011387441486308218
366,-682.838340037619,0.3760983913818294,0.23499999999999943,True,7.185250937820736,-0.0039963305044732654,0.0013786470403992755,0.000805523293600619,1.5536237571143257,0.002361882563808948
367,-682.8392206243819,0.3737200378179724,0.2333333333333331,True,7.209457810093914,-0.0041256200106254,0.0014902351714142917,0.0007582320182128289,1.5762326459307465,0.0018430694974259712
368,-682.8396480744907,0.3760983913818294,0.23499999999999943,True,7.039698229962516,-0.0038981963254841705,0.0016611915874638786,0.0008533118648481304,1.5219410758526721,0.003103505768887755
369,-682.8396771162375,0.3760983913818294,0.23499999999999943,True,7.039711454725275,-0.0038982100472155445,0.0016611809883015772,0.0008533087064467604,1.5219439104780768,0.0031036998501657656
370,-682.8407796045677,0.3765191451528943,0.2333333333333331,True,7.282222360201636,-0.00417774031580422,0.0015601425440900667,0.0006430877380514342,1.6893722180791009,0.0028547251177800945
371,-682.8411975724083,0.3760983913818294,0.23499999999999943,True,7.287922238923434,-0.0042210533276998705,0.0015171170538890318,0.0006827337276240496,1.6438273243135857,0.00512786687832368
372,-682.8421399399192,0.3760983913818294,0.23499999999999943,True,7.16449299337529,-0.003992108206902999,0.001484075338229601,0.0007517104678562127,1.5988382047813974,0.005203436210775701
373,-682.8430603381358,0.3760983913818294,0.23499999999999943,True,7.190548263819722,-0.004146850573931073,0.0017804255578230087,0.0007356634967478401,1.6131358241562708,0.005805586334840927
