param_index,log_prob,snowline_rmse_m,snowline_mae_m,snowline_bias_m,snowline_n_years,snowline_passed,area_rmse_km2,area_mae_km2,area_bias_km2,area_n_checkpoints,area_passed,passed_both,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,internal_lapse
269,-666.9786664374798,92.77805947647457,69.73469320610556,29.34223323783631,22,False,,,,0,False,False,7.069609245509643,-0.0039034609604332556,0.0016302363545100547,0.0032604727090201095,0.0005868505638852162,1.7391598496058187,0.003311827399877094,-0.005
270,-666.9794432116258,91.95654825105643,69.20883231534202,30.722579564569457,22,False,,,,0,False,False,7.0544039148347775,-0.00380333867865945,0.0015798736079989592,0.0031597472159979184,0.0007298736530171735,1.630121716908611,0.0007899445977285098,-0.005
271,-666.9794476023499,93.42205748296952,70.19689778987365,30.97754034054806,22,False,,,,0,False,False,6.961066637972288,-0.003696161983953072,0.0016016338863415402,0.0032032677726830804,0.000690750260458364,1.6598124985512868,0.00032077111670902533,-0.005
272,-666.9800071022437,95.77036495609724,71.93329764631306,31.524071462185066,22,False,,,,0,False,False,6.926031741568435,-0.0038144958106023272,0.0019407361132964614,0.0038814722265929228,0.000504823369195422,1.80857375888599,0.0013278437532686094,-0.005
273,-666.9804990421807,92.65138894036409,69.64298187913049,30.362085561011824,22,False,,,,0,False,False,7.150391413370691,-0.003945771643280384,0.0015332051316417367,0.0030664102632834735,0.0006036481717393228,1.7286658314305807,0.004782037739577889,-0.005
274,-666.9806288500729,91.93614314126928,69.19493268644351,30.209847383163368,22,False,,,,0,False,False,7.015342887928741,-0.003858520255257299,0.0018191691781748506,0.003638338356349701,0.0006783368789904247,1.6653988976803542,0.002923113188038645,-0.005
275,-666.982796353263,91.75066236223078,69.16306171374053,30.52145587611273,22,False,,,,0,False,False,6.855415514969257,-0.0036824530532754947,0.001839398051181307,0.003678796102362614,0.000787714459541424,1.5708561180931688,0.0010254569802822036,-0.005
276,-666.9829689488661,93.28734222050286,70.08541104607538,30.87845129233325,22,False,,,,0,False,False,6.855934595557792,-0.0037009507280059283,0.0019095307115577903,0.0038190614231155807,0.000674212423420237,1.65890968315433,0.007161029670762566,-0.005
277,-666.9834952545924,90.38299090959116,68.24020431922712,28.982741603207533,22,False,,,,0,False,False,7.085608802692645,-0.003972696068916957,0.0017224981164008848,0.0034449962328017697,0.0006833136596134869,1.6496919671051091,0.00652996859418631,-0.005
278,-666.9840954938994,93.12984838337464,69.93233246420999,30.978099295178094,22,False,,,,0,False,False,6.891536874762555,-0.003727461657645142,0.001834707305169895,0.00366941461033979,0.0006727595912613606,1.6588990996527817,0.006755546998346986,-0.005
279,-666.9848769398994,90.71867679992503,68.40688402092728,29.920484806511528,22,False,,,,0,False,False,7.014719961910754,-0.0038531713888480877,0.0017197416022240205,0.003439483204448041,0.0007513166249265719,1.5992787123168595,0.0028267359082261656,-0.005
280,-666.9860690244968,90.89420150278404,68.51893337121723,29.00330514546856,22,False,,,,0,False,False,7.16698546958969,-0.0040470864812999436,0.0016543260123177454,0.0033086520246354907,0.000621943787780552,1.7053649476604023,0.005003901329620086,-0.005
