rank,composite_score,snowline_rmse_m,area_rmse_km2,log_prob,selected,MF,MF_grad,r_snow,precip_grad,precip_corr,T0
312,0.867270177818901,88.3937829052262,0.3741434662443449,-683.0538374704935,False,7.017206392813891,-0.003926953877966723,0.0017858309987657684,0.0008041159076328304,1.5501672909972286,0.00954876070955742
313,0.8675674025796358,87.79531770420864,0.3765191451528943,-682.4982535630725,False,7.172770684733716,-0.004158401070790917,0.0018234360648993835,0.0006955004324476139,1.6385843948214602,0.0021800476517452403
314,0.8704601198181501,87.92417091474779,0.3760983913818294,-682.8019619975724,False,7.251289307039394,-0.004173336499782935,0.001519888255652144,0.0007072431928540947,1.622251342443116,0.004788373243135051
315,0.8706731087770305,88.02112681372695,0.3757215280851849,-683.0308526997983,False,7.012236156469503,-0.004019278797264068,0.0018552784019860065,0.0007405507876606926,1.5829737156727604,0.003036917190636687
316,0.8707405872957001,86.64068874851068,0.3811823710509186,-682.8530773474524,False,7.077065643565323,-0.004061999715659681,0.0018729723494093483,0.0007865077084021028,1.567421203845927,0.006452099226434764
317,0.8721689611065576,86.65177474452999,0.3811823710509186,-682.6967317250308,False,7.202485701611805,-0.004141188154685384,0.001664302358847983,0.000768542089186448,1.5849587021201312,0.0030596103935425683
318,0.8741045431625094,87.84605422284858,0.3765191451528943,-682.7602610696953,False,7.068148113219453,-0.00406756382399186,0.0019291307519193335,0.0007376957445916822,1.5988829963427555,0.008123360260827288
319,0.8745607449094943,86.57639916806357,0.3815538406743319,-682.9229973259038,False,7.199250669947264,-0.004168157534971848,0.0017871709619694301,0.0007519853329445709,1.601270160870594,0.006217113252490889
320,0.8745916375323922,86.67057779244973,0.3811823710509186,-682.7423921239679,False,7.274210174215458,-0.004253429471934157,0.0016045950448942588,0.0006946608041769465,1.6335557412585058,0.0017085857615942533
321,0.875228226829021,88.45554747902125,0.3741434662443449,-683.0512341480679,False,7.284556981578128,-0.004129242327313376,0.0013430849640337908,0.0007291230909690037,1.6077027732555937,0.006145007559575262
322,0.8764711046633742,87.97082379619921,0.3760983913818294,-682.8895656222122,False,7.241433512034572,-0.004299257703768426,0.0018016367134280904,0.0005782852347328193,1.7248590567979907,0.0031155020871463917
323,0.8787367600656086,86.70274921113122,0.3811823710509186,-682.6943709958553,False,7.274122113786066,-0.004262597917329738,0.0016206738782893338,0.0006870106846343242,1.6383028645661004,0.0015404529206399743
324,0.8788665174256761,87.98941524344195,0.3760983913818294,-682.8002229512165,False,7.239133849428306,-0.004150248969314164,0.0015139380128235515,0.0007190446270761159,1.6146316501369933,0.004725073357279402
325,0.8790136309964034,88.48492702603623,0.3741434662443449,-683.0535290945463,False,7.364960906727024,-0.004197423311812063,0.001273053265111121,0.000694699722770368,1.6402982296662039,0.003794042958813436
326,0.8800915485719547,88.2457859914195,0.3751222023110159,-682.8677948212618,False,7.123418734867887,-0.004074563160326447,0.00178564967273374,0.0007359001489399628,1.6021435394039716,0.005293428152379762
327,0.8807920125714934,88.00435953278657,0.3760983913818294,-682.5178947557354,False,7.117543903243695,-0.003986611783923554,0.0016598959098138646,0.0008080220853087079,1.560447724577493,0.0012699426956224447
328,0.8813856197328849,86.62936887007662,0.3815538406743319,-682.6817845809437,False,7.1371179684578845,-0.00408291330148729,0.001793567084949665,0.0008065155510731728,1.5599417307895915,0.003794941055468262
329,0.8819522062482387,87.90696206158654,0.3765191451528943,-682.6436296575092,False,7.1580592383796295,-0.004133032981343545,0.0017985758703094694,0.0007031396593858126,1.6295033694658376,0.005526520057499439
330,0.8823357013121444,87.90993847064667,0.3765191451528943,-682.5146047239627,False,7.097617606227899,-0.004048113187718747,0.001856028960510035,0.0007611111282637042,1.591558088762071,0.003277712308028937
331,0.8827743220446909,88.01974477351406,0.3760983913818294,-682.9433636168898,False,7.376886864479618,-0.004153219932940252,0.0011196111210641667,0.0007580410378600182,1.5936345287976306,0.0018472845343698305
332,0.8832984386003397,88.02381258405876,0.3760983913818294,-682.8525628392704,False,7.326460592159004,-0.004304929713961665,0.0015836926367163804,0.0006123985670176799,1.7018368669354758,0.001963088072600253
333,0.8834735429880838,88.02517161663884,0.3760983913818294,-682.801886976575,False,7.223954479988503,-0.004256381995544037,0.001826368071724525,0.0006049915796172162,1.7087206546808575,0.004668519326227868
334,0.8839926842587353,87.92279876408689,0.3765191451528943,-682.4531310845972,False,7.093254074760748,-0.004044276395534742,0.0018643264755372002,0.0007598619634325509,1.5926831428803343,0.0025559773912064467
335,0.885035798053815,86.75163775104416,0.3811823710509186,-683.0234715146416,False,7.244841570804166,-0.004301259545824499,0.0017905372784023008,0.0006227121994777661,1.6911544558224247,0.0018705982937845186
