index,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,lapse_rate,composite_score,selected,snowline_rmse_m,area_rmse_km2,log_prob,rank
11,5.382692287910387,-0.0072628349675128,0.0109540533403452,0.0146547447791945,0.0009037182340091,2.1154470471333573,0.0541793310071712,-0.0021298374586536,543.252332781383,True,111.0,0.43,-543.252332781383,11
12,5.476579809149628,-0.0075606486437948,0.0110075278331665,0.0140792028739789,0.0012453826391265,1.831229762173687,0.0591906876535973,-0.0020655876815152,543.3723734912509,True,111.0,0.43,-543.3723734912509,12
13,6.113894673784854,-0.008396189895832,0.0111499637991031,0.0115972063689536,0.0011794167810004,1.8546919063338527,0.1418489454291138,-0.0020426419729344,543.3723734912509,True,111.0,0.43,-543.3723734912509,13
14,5.967534155692284,-0.0081597261087078,0.0111452337245508,0.0131712929411766,0.0008496396495321,2.0887144142629617,0.0181489383988555,-0.0022982923436472,543.3723734912509,True,111.0,0.43,-543.3723734912509,14
15,5.345551020897911,-0.0071849240537543,0.0114699866895504,0.0137141692193825,0.0010222206465511,1.9995746382027848,0.0843215417315482,-0.002149369793152,543.4532894895157,True,111.0,0.43,-543.4532894895157,15
16,5.8002257460852364,-0.0077836030475826,0.0112198515196659,0.0117220858434884,0.0009187047795616,2.0950222802738487,0.0118836613648302,-0.0021347374968813,543.4847238512232,True,111.0,0.43,-543.4847238512232,16
17,5.906164220756853,-0.0080503326895904,0.0109758418248695,0.0123524858360806,0.0010042459497892,1.9940770330310853,0.1843053662293351,-0.0019804039591356,543.5055105429972,True,111.0,0.43,-543.5055105429972,17
18,6.129639190307618,-0.0083897093905112,0.0112731515367083,0.0114753330332874,0.0007669348284406,2.218595355369432,0.0920731188710247,-0.002091191138131,543.5876124714279,True,111.0,0.43,-543.5876124714279,18
19,5.5522972350039375,-0.0075439542153582,0.0110067951313153,0.0127104651606024,0.0012358181802878,1.8242119131736063,0.0533511434813668,-0.0020655064202706,543.5876124714279,True,111.0,0.43,-543.5876124714279,19
20,5.511383530596274,-0.0073312321541268,0.0106749487925048,0.0124640206495482,0.0011015091947056,1.85936965393674,0.1012985123551868,-0.0021054397811531,543.5876124714279,True,111.0,0.43,-543.5876124714279,20
21,5.530180624365706,-0.0075405114457019,0.0111294251319389,0.0138482469864877,0.0009485496998221,2.042475560019536,0.0033896114334888,-0.0022202278045445,543.5876124714279,True,111.0,0.43,-543.5876124714279,21
22,5.441859627097797,-0.0075113557870936,0.0113201268091472,0.0136917249322627,0.0008742036654516,2.089424219268659,0.0250324799426988,-0.0021899442150033,543.6061124305695,True,111.0,0.43,-543.6061124305695,22
23,5.270231679140581,-0.007206277890205,0.0113456973323169,0.0138748935077415,0.0012279105322557,1.820801874660068,0.0141963022753779,-0.0021967971903229,543.6061124305695,True,111.0,0.43,-543.6061124305695,23
24,5.037901965469554,-0.0067392851985667,0.0106049312309528,0.0136210497180144,0.0010284800123003,1.9593896376966509,0.1972348281248745,-0.0018934605821922,543.6061124305695,True,111.0,0.43,-543.6061124305695,24
25,5.362358946825015,-0.0073482677756249,0.0113490236696572,0.0133775303882471,0.0011196705760359,1.87705546996357,0.0094576335302596,-0.0022331900582088,543.6061124305695,True,111.0,0.43,-543.6061124305695,25
26,5.671749288405454,-0.0078227683284711,0.0115272381846898,0.0121761633876593,0.0011110090914214,1.9038259196078653,0.0406078300714758,-0.0021479221807153,543.6061124305695,True,111.0,0.43,-543.6061124305695,26
27,5.665672241293556,-0.0077700017425593,0.0113486952036755,0.0129485243182711,0.0010443613434686,1.946914036930293,0.0022388102684454,-0.0022212657586857,543.6061124305695,True,111.0,0.43,-543.6061124305695,27
28,5.512945066461704,-0.0076060530131836,0.0117891937216687,0.013204773361616,0.0011157682272174,1.917478574757755,0.0047931996990144,-0.0022375438291394,543.6061124305695,True,111.0,0.43,-543.6061124305695,28
29,5.296942575036404,-0.0071253893857942,0.0114382836791482,0.0141510606097139,0.0010635691456481,1.912993480178731,0.0905576653170256,-0.0022569629406515,543.6061124305695,True,111.0,0.43,-543.6061124305695,29
30,5.663393939771483,-0.0077987180250363,0.0112574303132745,0.0134443366960954,0.0012969453097862,1.7970452755355253,0.0036489933611939,-0.0021823655834467,543.6145374923777,True,111.0,0.43,-543.6145374923777,30
31,5.40490842253623,-0.0076056625410151,0.0115613563513955,0.0135681705102905,0.001202583946158,1.8222788396157448,0.029681399371131,-0.002221285621558,543.6145374923777,True,111.0,0.43,-543.6145374923777,31
32,5.685322183955323,-0.0078750849963295,0.0113678605032352,0.0126334588403234,0.0013702862427966,1.7242839556516485,0.0812218373159412,-0.0021235716608948,543.6145374923777,True,111.0,0.43,-543.6145374923777,32
33,5.240188793827466,-0.0071679965234902,0.0112401882602745,0.0130429807804335,0.0009915187898448,2.052699656201176,0.2813287464000591,-0.0018053704527887,543.6145374923777,True,111.0,0.43,-543.6145374923777,33
34,5.450074715132223,-0.0075399725885341,0.0110807875147777,0.0133833214488433,0.0012434599877262,1.832356618209226,0.2262031516498283,-0.001899718369416,543.6145374923777,True,111.0,0.43,-543.6145374923777,34
35,5.264806287363484,-0.0073183156389681,0.0115135517197594,0.0133000836554546,0.0014827932838474,1.6144744110350002,0.0763852329661281,-0.0022093364707611,543.6145374923777,True,111.0,0.43,-543.6145374923777,35
36,5.749267026763244,-0.0079115067622326,0.0110429487804848,0.0124444803070727,0.0009379703862669,2.035148205408833,0.1287284910530852,-0.002021521188788,543.6300461486486,True,111.0,0.43,-543.6300461486486,36
37,5.726182583972117,-0.0078736371686328,0.0110570835485997,0.0125888447944793,0.0009478352649697,2.069396596566011,0.1306101284029885,-0.0019773466776287,543.6544023359421,True,111.0,0.43,-543.6544023359421,37
