year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_min,glacier_wide_balance_max,area_km2_mean,area_km2_std,area_km2_min,area_km2_max,volume_km3_mean,volume_km3_std,volume_km3_min,volume_km3_max,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_min,mean_thickness_m_max,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_min,total_annual_runoff_mm_max,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_min,mean_annual_discharge_m3s_max,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_min,peak_daily_discharge_m3s_max
2050,-2.2357751739901315,0.6594347047110585,-2.9639008487511465,-1.2219500596069104,36.044,0.5941245660633798,35.42,36.79,5.181642756360146,0.18386203441728144,4.993502306490831,5.415928668050657,143.71406910007207,2.7166651991307664,140.97973761972983,147.2119779301619,7278.97591999535,1154.6307255151144,5286.857577326654,8450.132148783037,7.463256579381282,1.2508932852391574,5.311787968985953,8.655042280031068,33.254636251096386,3.6028285812286085,29.532195956468254,38.96220539616589
2051,-1.832584355123591,0.3738213585186993,-2.396045876490906,-1.2904690352196568,35.739999999999995,0.6536359843215479,35.02,36.62,5.0942222154630645,0.2014493299924416,4.8805630838291325,5.366200115057828,142.4805833825016,3.0142769082505865,139.36502238232816,146.53741439262228,7384.7455402909645,827.3665840531188,5755.343067818438,8044.365568108604,7.545120637372031,0.7311397842013826,6.102139331069376,8.127544125165567,33.91213318452999,7.027648210906281,25.276646148092837,46.471776836236
2052,-1.7086124705566412,0.5406049109839617,-2.5387321883246607,-1.2248446605533325,35.49400000000001,0.7053112787982337,34.77,36.45,5.022628214792077,0.21141210532271276,4.81007000209535,5.314007706754977,141.44441996051097,3.1229243134542886,138.33966068724044,145.7889631482847,7182.625586634541,638.1012643605085,6398.328612830552,8352.218441014862,7.278286176142766,0.7607442614547497,6.059181303906888,8.415064358550937,32.79821025502342,2.3832594136843763,29.901049950443362,36.35512244578652
2053,-2.1959474236290486,1.2796882880826157,-3.9113206022926605,-0.5674376090514902,35.257999999999996,0.6959999999999992,34.6,36.19,4.956108697599364,0.20607534581550804,4.763195418109182,5.227454716928172,140.5068128179055,3.0483754485078847,137.66460745980294,144.4447282931244,7613.847517010076,1234.5668091029984,5276.216172352432,8859.68725295989,7.773848149666063,1.3585027545856498,5.218866996150359,8.969708771795982,32.79742959394186,6.4939836309520595,24.31836372311583,41.11068964541934
2054,-2.222248559896065,1.0469318386640027,-3.4867598792040475,-0.9097641905439828,34.932,0.8154851316854297,34.07,35.99,4.872977435543435,0.22647816870000434,4.650178086666825,5.167275334055941,139.42434930488562,3.2067236085909583,136.48893709030892,143.5753079759917,7667.530660151407,1401.4804110125065,6318.996209674628,9978.076801645171,7.78433732505903,1.3414914394375455,6.6082239938338505,10.099442092839231,35.976189360613354,6.868320057418819,26.84992574633735,47.31412136071724
2055,-2.495705904610346,0.6567579942584618,-3.6910726065501906,-1.7196945701002773,34.598,0.9594873631267916,33.57,35.84,4.789688242933623,0.2554389247504399,4.524745993462525,5.131076586335072,138.34086210757144,3.521377489036165,134.78540343945562,143.16619939550984,7895.895245552922,1777.5328690376216,5996.046564177595,11208.108574499813,7.764452745381777,1.6443897195375121,6.115897835850959,10.879629162198968,35.071537031637746,6.8986213543215635,27.55349681797896,45.88030787641727
2056,-2.533253695370492,0.6230413981616965,-3.3982958375294903,-1.8489649303084261,34.258,1.006486959677072,33.24,35.55,4.6962786892354496,0.2650990580138038,4.4165178219606736,5.033820025094728,136.97743401802083,3.6891339849973597,132.86756383756537,141.59831294218642,9295.675854543058,614.8322380451058,8589.540802833064,10425.440977518658,9.229558773824992,0.6250338332827428,8.297601440693215,10.252366506134985,35.962657371975354,4.588546223732246,30.26583699430844,41.212136750465326
2057,-2.112873840444208,0.9157040868050852,-3.0369248615477007,-0.6320596393439608,33.938,0.9999479986479312,32.86,35.14,4.6018543900331075,0.2607946438737161,4.303907909848085,4.9180676486076225,135.4881386129075,3.6801306273369794,130.97711228995996,139.95639295980712,7838.982167588499,486.5999666756194,7338.109828381497,8682.95594087568,7.732871361839398,0.4549400544685688,7.067684957513696,8.429150403122037,32.58249986880347,5.4685893476407035,27.586574738007435,42.53181647769527
2058,-2.670706182765641,0.4057806499503931,-3.315259525279775,-2.151206548011339,33.648,0.938858881834752,32.63,34.81,4.523475228804015,0.24833603160856502,4.247367153469165,4.829261824107855,134.33429250498028,3.6258787688241236,130.16754990711507,138.73202597264736,8559.200579132248,795.6182669607025,7350.302130464259,9603.828865201387,8.364139210187153,0.7592162952146634,7.430871397257903,9.316355971927937,34.18155392686093,4.605612321761857,28.950343080217326,40.70330576980775
2059,-2.6137883974120335,0.32433444573403103,-3.079192381613875,-2.093654756955385,33.282,0.9619022819392821,32.25,34.51,4.426061946667762,0.25848839309824184,4.148108213306652,4.747607671742908,132.8736758867453,3.914950205537255,128.62351049012872,137.57194064743283,8445.531378485792,739.3670046096975,7510.524342022487,9421.890877249414,8.120826681335036,0.879317276645398,7.326619819540614,9.504113398090514,31.369530691939396,2.3893615680348224,28.180994098782325,35.24821100738452
