year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2071,-3.311905850100788,24.2,2.80896089982751,116.07276445568226,-114.9222477323288,8822.353410677375,26.202335020634806,6.07090568562481,191452081.701864,13.209412711736787,2371.8974706314275,708.7769664245136,1609.842579241746,large
2072,-3.1568385229249842,23.45,2.7255558890432905,116.22839612124906,-118.07908625525378,9210.760501861958,23.45075366153291,6.1940298795142645,195870090.46195188,12.407003637786113,2600.3135774872344,737.8942621332205,1609.842579241746,large
2073,-4.457095138627856,22.71,2.6470078951887634,116.55693065560385,-122.53618139388163,10921.071223004772,23.372442042878145,7.261393699132452,228995311.695841,13.532798862594463,2773.4243679646042,756.1998718985227,1609.842579241746,large
2074,-3.3371109870381055,22.13,2.538641588758546,114.71493848886334,-125.87329238091974,9726.589804832616,28.795756985311527,6.337981698369823,199874590.83979073,13.684722000756828,2740.68446995945,769.9910916483458,1609.842579241746,large
2075,-2.4568364871020263,21.62,2.4588615516640098,113.73087658020395,-128.33012886802177,7148.3157089105125,20.481880139870114,4.496013947064109,141786295.83461374,12.72643820320248,2011.3134502743494,781.0041934422775,1609.842579241746,large
2076,-3.9115206118588044,21.25,2.400940579307965,112.98543902625715,-132.24164947988058,9738.665566126017,25.86859070843864,5.99818459070098,189676992.40098268,13.550440235527281,2497.7604799600485,785.9940546794328,1609.842579241746,large
2077,-2.9333390942578856,20.57,2.3127818538761473,112.43470364006549,-135.17498857413847,9609.830554031665,24.018323255524596,5.654547831906632,178321820.42700753,13.37355681308699,2860.038904506792,800.5461228006642,1609.842579241746,large
2078,-4.141229999261807,20.17,2.2477282197534896,111.43917797488793,-139.31621857340028,9955.169001077831,21.005429944941675,5.827963039631535,183790642.4178201,13.73026716411875,2489.827394738785,812.0152730616131,1609.842579241746,large
2079,-3.175240577542715,19.61,2.1587543747063647,110.0843638300033,-142.491459150943,8337.408595455348,19.05973875036586,4.844920699136108,152789419.1679563,13.239209146222182,2209.6086330357703,809.8342207374568,1609.842579241746,medium
2080,-1.8285515357665518,19.24,2.0904878453515137,108.65321441535934,-144.32001068670957,9299.651491754385,18.714793579195597,5.139772688892349,162531947.87722942,13.51818182859793,3198.3008234743966,818.17435166892,1609.8357741705904,medium
2081,-3.745663182642041,19.09,2.0515664182639397,107.46812039098688,-148.0656738693516,9155.072461823822,17.441275937646754,5.049923350371181,159254382.77730557,13.569481986639131,2316.4515619905605,814.2744373225936,1609.8319851668405,medium
2082,-4.199623904634228,18.74,1.9733444370522657,105.30119728133754,-152.26529777398582,11247.893279951257,20.54479659265569,6.1418453611399855,193689235.30891058,13.89118900727432,3020.1237145139976,819.466455993054,1609.8241557593717,medium
2083,-6.477437316564491,18.24,1.887793964403938,103.49747611863695,-158.74273509055033,13528.897371682157,19.76792163430776,7.257443040668948,228870723.73053592,16.027234711991543,3023.2454148474035,825.4258236346598,1609.8156393313484,medium
2084,-5.568358833196776,17.55,1.7597302068288345,100.26952745463444,-164.3110939237471,12986.787206829438,22.12023549512831,6.6805224661565275,211254153.63378817,15.476808285480576,3184.4424837807155,824.012326067802,1609.8029234363632,medium
2085,-3.909055749727661,17.08,1.65305065384752,96.78282516671663,-168.22014967347476,10071.649602564337,19.03715244677647,5.014807897113623,158146981.8433752,13.901478075081727,2649.395769451001,814.638959472723,1609.792203718316,medium
2086,-5.938195924148822,16.63,1.5803382629217182,95.02936036811293,-174.1583455976236,13223.870232452336,23.860902207832474,6.504519298577615,205126520.59994367,14.268901422886584,3133.4242680560683,809.1013063245724,1609.7846411821347,medium
2087,-6.365924612519056,16.12,1.4729453263700154,91.37377955148979,-180.52427021014265,12906.9323228777,19.870889858658014,6.114968985616602,192841661.93040517,15.16149978236773,2816.899469842736,795.2008052188941,1609.7730261585823,medium
2088,-7.506094799743677,15.49,1.3624992577344914,87.95992625787548,-188.0303650098863,12525.25049421578,15.667010495068368,5.640760269658983,178374377.55126423,16.343960292210365,2162.923958615512,782.6424690547033,1609.7602836912486,medium
2089,-6.913194392018258,14.8,1.2378164938360585,83.63624958351748,-194.94355940190457,13853.37936922718,19.65088973043502,5.983105646569737,188683219.67022324,16.320947825527547,2993.368813584424,767.5614100566646,1609.744829950782,medium
2090,-7.231534934181832,14.13,1.1276975126616817,79.80874116501639,-202.1750943360864,13483.389915289521,20.442752098963247,5.645656354022612,178041418.78045708,16.40462238076702,2699.229566502008,763.0243567764367,1609.7301695037313,medium
2091,-6.844940463658141,13.63,1.0173602079939619,74.64124783521363,-209.02003479974454,12704.064756157939,17.472768915525243,5.033041129937281,158721985.0737021,16.704669218615184,2531.264557030083,752.2590982651968,1609.7149534574671,medium
2092,-4.300056889146226,13.04,0.9163734743749027,70.27403944592812,-213.32009168889076,11808.92189160064,14.898490917213866,4.429285547607882,140064639.30067548,14.221351278113898,3245.8261134368695,729.0066977289073,1609.7002776565025,medium
2093,-6.5145861030061445,12.69,0.8550604018359439,67.38064632276942,-219.8346777918969,13071.191688765506,15.4725068175328,4.843860535097219,152755985.8348259,16.520547713541305,2837.025729452075,726.6864947981263,1609.690540597674,medium
2094,-6.068307684366849,12.12,0.766850025200689,63.271454224479285,-225.90298547626375,12044.153840578216,12.9273054325439,4.261133509009691,134379106.3401296,16.086261015490184,2586.478858220459,719.9041525243684,1609.67596637611,medium
2095,-6.552823659703597,11.78,0.6875050756115421,58.362060748008666,-232.45580913596734,12951.764919479034,15.687611561730897,4.350031940199093,137182607.26611862,17.13752689789932,2770.4752034233866,709.3544562518218,1609.6622628573332,medium
2096,-5.3940162650984895,11.31,0.6046578218786121,53.46223005115933,-237.84982540106583,11486.785316142421,15.081979226057744,3.843860449109146,121552092.66590905,15.67198345637901,2637.7935952925463,694.0392851498583,1609.647142052126,medium
2097,-6.736559747789465,10.7,0.5400385069684416,50.470888501723515,-244.5863851488553,14442.758786555623,13.510190002587171,4.5265134557912265,142748128.3418321,16.839643159257168,3329.309262339167,710.2816286313001,1609.6341739083632,medium
2098,-7.32576706077006,9.88,0.4659470439277773,47.16063197649567,-251.91215220962536,11483.407853956365,11.554426115359783,3.2944857495963777,103894902.59927136,16.790099198022453,1790.458297626444,715.4741904275216,1609.6182389495273,medium
2099,-6.302495568383908,8.99,0.3918393598744053,43.58613569236989,-258.2146477780093,13425.558834831609,17.388143191488464,3.5561800101621537,112147692.80047368,16.609838830006996,3055.510706894958,739.4863915670776,1609.600349301716,medium
2100,-5.008238877265217,7.75,0.3375718526040255,43.557658400519415,-263.2228866552745,13567.376111259722,8.608479567060293,3.088975762806759,97413939.65587397,16.07824285355065,3631.1157508925967,766.8728457858812,1609.58528003449,medium
