year,glacier_wide_balance,area_km2,volume_km3,mean_thickness_m,cum_balance,total_annual_runoff_mm,peak_daily_discharge_m3s,mean_annual_discharge_m3s,total_annual_discharge_m3,mean_summer_T,annual_precip_mm,elev_min,elev_max,size_class
2040,-0.7984305042434205,38.63,6.0810048149569855,157.4166403043486,-18.98695134673578,6121.850089590473,33.471696959620004,6.907936779253833,218445540.0082764,9.719795655804406,2327.9197102288886,583.6920289019439,1609.842579241746,large
2041,-2.148859490740998,38.52,6.046880247386263,156.98027641189677,-21.135810837476775,6823.97333211803,36.48535458983961,7.543647033335513,237896452.84326875,12.014274825357713,2044.1109277070173,603.5982061306573,1609.842579241746,large
2042,-1.0275319259963467,38.25,5.956216473269162,155.71807773252712,-22.16334276347312,6377.149604941019,25.685664522154667,6.962752960035099,219577377.34766686,10.713984178597348,2338.9362636031587,633.3260311940027,1609.842579241746,large
2043,-2.1107733536978475,38.16,5.912657666334441,154.94385918067195,-24.27411611717097,6517.9734980624935,32.28280737566198,7.063250840413352,222746678.50327548,11.13253840169942,1927.1480621177732,637.991183879662,1609.842579241746,large
2044,-1.0232410959024754,37.94,5.8242882249348344,153.5131319171016,-25.297357213073443,6631.829472454597,52.60601279962377,7.286109983134856,230404284.33068368,10.985999494650363,2452.6855867702843,646.2360707794788,1609.842579241746,large
2045,-1.67353726323459,37.79,5.781228259291971,152.98301824006273,-26.970894476308032,7846.733239771476,32.44769689166583,8.528808777151864,268964513.5962612,10.135999161401356,2700.0661191438885,644.8546853628068,1609.842579241746,large
2046,-1.5618538047429604,37.53,5.711860517410967,152.19452484441692,-28.532748281050992,7210.514852227556,31.07433674866038,7.996136979682452,252166175.79126585,11.106600118857198,2470.0077033846783,646.830624799342,1609.842579241746,large
2047,-2.8223015221048136,37.37,5.647306959664076,151.11873052352357,-31.355049803155804,6711.441609960621,30.994579800762033,7.222776799329369,227777489.14365098,10.300132647941778,1700.775512415286,643.8382206847746,1609.842579241746,large
2048,-1.6738196147036297,37.07,5.531998463743894,149.23114280398957,-33.02886941785943,7647.410158854297,49.205741845109344,8.180231319473009,258678546.8769033,11.463742892238681,2612.5112979391183,640.4308609177577,1609.842579241746,large
2049,-1.7175231101813864,36.91,5.4638921767071125,148.03284141715287,-34.74639252804082,6820.727282277001,27.538465765042965,7.1078301262952115,224152530.86284578,10.928434848922587,2232.1476897361945,632.5994364641043,1609.842579241746,large
2050,-2.1775199760115234,36.74,5.39426784139355,146.82275017402148,-36.923912504052346,7868.906989871226,35.848214298070694,8.371306407926378,263997518.88036624,11.530295890447727,2489.61491419957,627.8573117177846,1609.842579241746,large
2051,-1.6131306653302997,36.43,5.306962752661159,145.67561769588687,-38.53704316938265,7623.350367029467,46.471776836236,7.780511282806145,245366203.8145746,11.341461078117561,2628.8316547952336,623.3868826200559,1609.842579241746,large
2052,-1.3842365442909206,36.24,5.242214304672115,144.65271260132766,-39.92127971367357,7099.607529214004,30.532585622068183,7.5732810960501515,239485324.1317363,11.329772714546765,2499.7853141195505,615.3511013256796,1609.842579241746,large
2053,-1.5009150604268284,36.02,5.187329306076404,144.01247379445877,-41.4221947741004,7788.86457978165,41.11068964541934,8.208266423568269,258855889.9336489,11.985374347160532,2749.522157729237,615.0768795994513,1609.842579241746,large
2054,-1.8089453609367714,35.84,5.127832187332574,143.07567486977047,-43.231140135037165,6394.9802185050485,38.95286450776983,6.6082239938338505,208396951.8695443,10.708525844379448,2005.4293428602186,614.778406942094,1609.842579241746,large
2055,-1.7196945701002773,35.63,5.056844237271832,141.9265853851202,-44.950834705137446,5996.046564177595,32.017056333551366,6.115897835850959,192870954.15139583,10.972605726130466,1869.9173902608852,603.0456067740597,1609.842579241746,large
2056,-1.8489649303084261,35.37,4.990022656007446,141.08065185206237,-46.79979963544587,8970.796711010309,40.56842649819634,9.14752385528431,289266658.3613426,11.939692386973737,3112.8565693282,598.8755660469621,1609.842579241746,large
2057,-2.3210441213360995,35.14,4.9180676486076225,139.95639295980712,-49.12084375678197,7338.109828381497,28.27146129537797,7.6417101772072185,240988972.14840683,11.285011851406454,2192.7849642638166,595.6301365981137,1609.842579241746,large
2058,-2.151206548011339,34.81,4.829261824107855,138.73202597264736,-51.27205030479331,7350.302130464259,29.016984512300674,7.430871397257903,234339960.38392523,11.074136049988313,2271.989355793352,591.242185689609,1609.842579241746,large
